user_id,KC5,KC4,KC2,KC1,KC7,KC8,KC3,KC6
1626,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (monthly),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz)
2312,Revisit based on activity (if it is related to my assessment),Only when notified by course convener,Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit by myself (monthly),Revisit by myself (monthly),Only when notified by course convener,Revisit by myself (monthly)
2662,Others,Others,,,,,,
2546,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Only when notified by course convener,Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit by myself (weekly)
1235,,,,,,,,
2430,,,,,,,,
1589,Never,Never,Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Never,Never,Revisit by myself (monthly)
2068,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Never,Never,Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment)
1927,Revisit by myself (weekly),Revisit based on activity (if I see it in quiz),Revisit by myself (monthly),Revisit by myself (weekly),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz),Revisit based on activity (if I see it in quiz)
2019,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz)
1520,Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit based on activity (if I see it in quiz),Revisit by myself (weekly)
2820,Revisit by myself (weekly),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is mentioned in lectures or labs),Never,Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is mentioned in lectures or labs)
2088,Revisit based on activity (if it is related to my assessment),Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment),Others,Never,Others,Revisit based on activity (if I see it in quiz),Revisit based on activity (if it is related to my assessment)
1817,Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (weekly),Revisit by myself (monthly),Revisit by myself (weekly),Revisit by myself (monthly),Revisit by myself (weekly)
1779,,,,,,,,
2139,Only when notified by course convener,Revisit by myself (monthly),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if it is mentioned in lectures or labs),Revisit based on activity (if it is related to my assessment),Revisit based on activity (if I see it in quiz),Revisit by myself (monthly),Revisit by myself (monthly)
2153,,,,,,,,
1084,Revisit based on activity (if it is related to my assessment),Revisit by myself (monthly),Never,Revisit by myself (weekly),Only when notified by course convener,Only when notified by course convener,Only when notified by course convener,Revisit by myself (monthly)
1848,Revisit by myself (weekly),Revisit by myself (weekly),Revisit based on activity (if it is mentioned in lectures or labs),Revisit by myself (weekly),Revisit based on activity (if it is mentioned in lectures or labs),Only when notified by course convener,Revisit based on activity (if it is related to my assessment),Only when notified by course convener
2770,Revisit based on activity (if it is related to my assessment),Revisit by myself (weekly),Revisit based on activity (if it is related to my assessment),Others,Others,Others,Revisit based on activity (if it is related to my assessment),Others
